date;rank
1999-07-18;68
1999-07-25;33
1999-08-01;14
1999-08-08;5
1999-08-15;2
1999-08-22;1
1999-08-29;1
1999-09-05;1
1999-09-12;1
1999-09-19;1
1999-09-26;1
1999-10-03;1
1999-10-10;1
1999-10-17;1
1999-10-24;2
1999-10-31;4
1999-11-07;6
1999-11-14;8
1999-11-21;9
1999-11-28;12
1999-12-05;17
1999-12-12;23
1999-12-19;20
1999-12-26;25
2000-01-02;22
2000-01-09;34
2000-01-16;37
2000-01-23;54
2000-01-30;63
